

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- VIM STARTING ---
000.156  000.147: Allocated generic buffers
000.547  000.391: locale set
000.581  000.034: GUI prepared
000.585  000.004: clipboard setup
000.596  000.011: window checked
001.307  000.711: inits 1
001.496  000.189: parsing arguments
006.197  004.701: expanding arguments
010.667  004.470: shell init
010.810  000.143: inits 2
014.694  003.884: init highlight
015.270  000.366  000.366: sourcing $VIM/vimrc
015.690  000.017  000.017: sourcing /Users/jesushula/.vimrc.before
016.692  000.588  000.588: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/syntax/syncolor.vim
016.953  000.988  000.400: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/syntax/synload.vim
045.863  000.059  000.059: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/autoload/paste.vim
062.383  017.127  017.068: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/menu.vim
062.422  045.325  028.198: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/filetype.vim
062.490  046.663  000.350: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/syntax/syntax.vim
065.029  002.337  002.337: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/ftoff.vim
065.358  000.185  000.185: sourcing /Users/jesushula/.vim/bundle/vundle/autoload/vundle.vim
065.693  000.244  000.244: sourcing /Users/jesushula/.vim/bundle/vundle/autoload/vundle/config.vim
069.601  003.454  003.454: sourcing /Users/jesushula/.vim/vundles/ruby.vundle
084.894  015.125  015.125: sourcing /Users/jesushula/.vim/vundles/languages.vundle
090.026  004.876  004.876: sourcing /Users/jesushula/.vim/vundles/git.vundle
099.489  009.181  009.181: sourcing /Users/jesushula/.vim/vundles/appearance.vundle
119.013  019.200  019.200: sourcing /Users/jesushula/.vim/vundles/textobjects.vundle
129.957  010.571  010.571: sourcing /Users/jesushula/.vim/vundles/search.vundle
139.531  009.112  009.112: sourcing /Users/jesushula/.vim/vundles/project.vundle
213.978  073.940  073.940: sourcing /Users/jesushula/.vim/vundles/vim-improvements.vundle
237.198  000.708  000.708: sourcing /Users/jesushula/.vim/bundle/vim-ruby/ftdetect/ruby.vim
238.114  000.885  000.885: sourcing /Users/jesushula/.vim/bundle/vim-ruby/ftdetect/ruby_extra.vim
238.235  000.047  000.047: sourcing /Users/jesushula/.vim/bundle/rspec.vim/ftdetect/rspec.vim
238.765  000.316  000.316: sourcing /Users/jesushula/.vim/bundle/vim-javascript/ftdetect/javascript.vim
238.923  000.054  000.054: sourcing /Users/jesushula/.vim/bundle/vim-es6/ftdetect/es6.vim
239.203  000.201  000.201: sourcing /Users/jesushula/.vim/bundle/vim-go/ftdetect/gofiletype.vim
239.343  000.060  000.060: sourcing /Users/jesushula/.vim/bundle/vim-solidity/ftdetect/solidity.vim
239.664  000.187  000.187: sourcing /Users/jesushula/.vim/bundle/nginx-contrib-vim/ftdetect/nginx.vim
